Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1942,NA,326,NA,NA,NA,NA,NA,NA,0.04247104247104247,0.1650485436893204,77,1850,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,707.8082191780821,mod year
1943,90,325,69,147,8,129,40,58,0.04,0.3,122,2110,203,151,657.6,1385,52,NA,101.5,NA,NA,2,NA,13440,4520,10960,NA,2,NA,831.2876712328767,wet year
1944,87,335,48,151.39999999999998,3,190,26,120,0.03125,0.140625,90,598,245,195,140.5,281,50,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,232.54918032786884,dry year
1945,95,319,54,174.5,3,470,35,422,0.0374331550802139,0.20253164556962025,94,1790,225,168,187,419,57,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,404.84383561643835,dry year
1946,154,327,84,380.79999999999995,4,614,31,560,0.04431057563587684,0.13580246913580246,96,1710,231,182,399,764,49,NA,89,NA,NA,2,NA,13440,4520,10960,NA,1,NA,632.2876712328767,mod year
1947,104,292,48,156.60000000000014,2,1020,50,935.5,0.05741626794258373,0.14977973568281938,77,1110,215,99,278,545.5,116,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,302.44109589041096,dry year
1948,120,310,89,141,3,634,17,586,0.06437830687830688,0.1717171717171717,55,1980,255,224,120,349,31,NA,99,NA,NA,2,NA,13440,4520,10960,NA,1,NA,487.6256830601093,mod year
1949,120,302,51,74,7,216,35,127,0.054576481538938876,0.18181818181818182,77,2300,225,160,147,434,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,399.2054794520548,dry year
1950,67,323,59,76.9,3,82,42,30.5,0.045340338053905894,0.1595744680851064,80,1400,243,186,84.6,760,57,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,473.73972602739724,mod year
1951,90,315,61,115,1,103,9,43,0.04643449419568822,0.44964028776978415,187,8340,128,103,604.2,1175,25,NA,47,NA,NA,7,NA,13440,4520,10960,NA,4,NA,924.6328767123288,wet year
1952,141,313,104.5,243.90000000000006,4,200,24,138.5,0.07331378299120235,0.22171945701357465,62,2610,251,211,380.8,1335,40,NA,125,NA,NA,2,NA,13440,4520,10960,NA,1,NA,1019.3907103825137,wet year
1953,118,326,128,644,8,614,68,508,0.04804848135055191,0.13333333333333333,65,2180,261,172,720.8,1290,89,NA,101,110,NA,6,2,13440,4520,10960,NA,3,1,954.9205479452055,wet year
1954,101,309,93,105,5,698,45,570,0.057870970529772706,0.40336134453781514,103,2050,206,127,452.2,1240,79,NA,148,NA,NA,3,NA,13440,4520,10960,NA,2,NA,799.7835616438356,wet year
1955,101,312,38,60.900000000000006,1,399,40,305,0.07194616977225674,0.5925925925925926,58,815,254,209,169,211,45,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,219.24657534246575,dry year
1956,74,361,167,333.8,1,66,35,27,0.05215617715617715,0.38461538461538464,125,2860,236,188,536,1520,48,83,82,83,2,9,2,13440,4520,10960,1,3,1,1252.844262295082,wet year
1957,106,301,91,421.4000000000002,3,258,27,91,0.045454545454545456,0.2702702702702703,58,1480,243,173,210.60000000000002,973,70,NA,148,NA,NA,3,NA,13440,4520,10960,NA,1,NA,581.2219178082191,mod year
1958,90,361,116,195,10,1010,11,919,0.04838709677419355,0.16341463414634147,130,3330,231,189,436.50000000000006,1340,42,NA,128,148,NA,14,1,13440,4520,10960,NA,4,1,1304.2054794520548,wet year
1959,145,317,53.5,63,6,265,45,139.5,0.05627705627705628,0.3838120104438642,91,1220,226,140,333,680,86,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,396.0986301369863,dry year
1960,115,310,61,75,NA,NA,NA,6,0.06349206349206349,0.39473684210526316,61,1470,249,152,103.00000000000001,622,97,NA,131,NA,NA,2,NA,13440,4520,10960,NA,1,NA,389.2896174863388,dry year
