brood_year,smolt_year,chinook_spawner_abundance,chinook_juvenile_abundance,chinook_juv_per_adult,coho_spawner_abundance,coho_smolt_per_fem,coho_smolt_abun_est,percent_coho_smolt_survival,coho_redds_in_brood,BY_recon_10,BY_recon_15,BY_recon_20,BY_recon_50,BY_recon_80,BY_recon_100,RY_discon_10,RY_discon_15,RY_discon_20,RY_discon_50,RY_discon_80,RY_discon_100,RY_recon_10,RY_recon_15,RY_recon_20,RY_recon_50,RY_recon_80,RY_recon_100,SY_discon_80,SY_discon_100,BY_min_flow_sepdec,RY_min_flow,SY_min_flow_janjul,tot_flow_CFLP,BY_tot_flow_sepdec,RY_tot_flow,SY_tot_flow_janjul,log_tot_flow_CFLP,log_BY_tot_flow_sepdec,log_RY_tot_flow,log_SY_tot_flow_janjul,BY_FA_Mag,BY_FA_Tim,BY_FA_Dur,RY_Wet_Tim,RY_Wet_BFL_Dur,RY_SP_ROC,RY_DS_Mag_50,RY_DS_Mag_90,RY_FA_Mag,RY_FA_Tim,RY_FA_Dur,RY_Wet_BFL_Mag_50,RY_DS_Tim,RY_SP_Tim,RY_DS_Dur_WS,SY_Wet_Tim,SY_Wet_BFL_Dur,SY_SP_ROC
1999,2001,3584,160906,44.9,NA,NA,NA,NA,NA,1,1,1,1,58,59,366,351,346,334,327,323,1,4,7,50,60,104,282,280,132114.954962098,29358.8788804662,22997.7884563652,642.471600778146,40.7966087776478,501.848442716489,99.8265492840092,8.80785393527504,7.61062406381621,8.70057258083077,7.99924605906447,140.977385,29,5,94,146,0.068552775,79,103,114.0051747,75,9,1135,314,240,181,129,102,0.104651163
2000,2002,6253,630151,100.8,NA,NA,NA,NA,NA,1,4,7,50,60,104,302,294,292,286,282,280,82,82,83,83,83,83,334,334,34252.0253605439,8318.34901613209,349859.973325556,480.517504608562,18.8435070947792,135.022217943236,326.651779570547,8.68170921305854,7.27516173551434,8.13040523765219,8.51408502853092,114.0051747,75,9,129,102,0.104651163,5.1,8.7,501.8625953,52,4,224,268,231,156,58,142,0.065340909
2001,2003,6142,291207,47.4,NA,NA,NA,NA,212,82,82,83,83,83,83,365,344,341,323,312,309,1,43,56,69,70,70,334,334,8318.34901613209,25444.361696404,851407.48753352,1064.85828054606,34.195509518699,428.712784194684,601.949986832679,9.02729181240172,7.53396907917625,8.63216643434437,8.77956040928957,501.8625953,52,4,58,142,0.065340909,14.2,75.86,185.969444,39,3,574.5,308,200,127,69,176,0.060344828
2002,2004,4308,125909,29.2,NA,NA,NA,NA,20,1,43,56,69,70,70,365,365,365,355,351,326,1,1,1,17,57,69,335,335,25444.361696404,94437.7270654996,384111.9986861,1152.8832944921,96.411622355563,667.16315188859,389.308520247942,9.06178534621631,7.98412939096339,8.82423205175832,8.59029390861457,185.969444,39,3,69,176,0.060344828,70.75,126,98.99727863,28,5,1240,295,245,128,57,163,0.067729084
2003,2005,12053,1211604,100.5,NA,NA,NA,NA,6,1,1,1,17,57,69,349,347,341,327,313,310,3,19,29,51,54,54,334,334,99086.2162215734,17639.7930606801,685040.507210878,819.117858568811,45.6591730922251,449.221673693957,324.237011782629,8.91334639460964,7.65952804196071,8.65246070159346,8.51086258822841,98.99727863,28,5,57,163,0.067729084,24.3,93.4,103.0000183,24,3,756,308,220,120,62,172,0.071428571
2004,2006,467,211847,453.6,NA,NA,95815,1.69,960,3,19,29,51,54,54,365,351,347,336,321,319,1,16,25,62,67,67,334,334,20991.5983995333,29848.193528474,1201267.46085908,1487.06158964964,53.7936621293682,580.299526259603,852.968401260665,9.17232895607479,7.7307311109009,8.76365221601874,8.93093294275918,103.0000183,24,3,62,172,0.071428571,29.3,198.6,487.9988452,37,9,533.5,299,234,120,53,43,0.055718954
2005,2007,756,13279,17.6,NA,NA,3931,1.48,31,1,16,25,62,67,67,365,365,365,347,332,329,1,1,1,17,66,72,295,292,29848.193528474,90523.2098814375,127221.80848202,1481.6087895409,245.142234820061,968.374728937241,268.091825783597,9.17073354576725,8.3894181409915,8.98604344740919,8.42828357238945,487.9988452,37,9,53,43,0.055718954,54.4,79.38,NA,NA,NA,808,292,96,105,31,141,0.056409523
2006,2008,4960,370622,74.7,NA,NA,1142,7.01,14,1,1,1,17,66,72,342,337,334,305,295,292,29,43,46,49,49,49,335,335,90523.2098814375,9125.71818534491,479528.355047615,728.589657677964,97.9798758024279,308.562453142742,322.047328732794,8.86248300214434,7.99113688461659,8.48934307861311,8.50791970118975,NA,NA,NA,31,141,0.056409523,27.9,172.6,777.9894777,19,6,561,279,172,163,76,158,0.056179775
2007,2009,4505,717948,159.4,1622,85.15,73232,1.25,250,29,43,46,49,49,49,366,359,348,336,325,316,1,1,27,63,63,63,304,301,11914.8116789892,33518.0533885323,193034.628639065,605.95368161134,37.1249139876595,355.039613532042,213.789154091639,8.78243942847421,7.56966545613731,8.55027681214967,8.32998566889132,777.9894777,19,6,76,158,0.056179775,39.1,144,181.0025556,33,6,572,314,234,131,79,154,0.07035284
2008,2010,4673,1070520,229.1,63,101.78,3257,10.99,24,1,1,27,63,63,63,349,333,327,312,304,301,42,46,46,80,108,112,334,334,33518.0533885323,12453.0577917977,604303.590289596,628.922551572008,24.1288392652352,228.065471659111,376.728240647662,8.79859716770944,7.38253643037011,8.35805953953797,8.57602817740458,181.0025556,33,6,79,154,0.07035284,16.9,66,32.89408976,16,2,381,292,233,162,88,164,0.069823454
2009,2011,2211,963392,435.7,81,8.61,353,55.81,5,42,46,46,80,108,112,365,365,365,344,337,334,1,1,1,41,54,54,334,334,14606.0422430319,52601.3246608353,990862.162215734,1045.95678966549,10.958935514106,515.470473202377,519.52738094901,9.0195137434247,7.03976837141097,8.71220379339735,8.71560844136711,32.89408976,16,2,88,164,0.069823454,48.85,365.2,754.9269609,24,4,580.5,319,252,104,57,211,0.059171598
