,water_year,recon_date_10,recon_date_100,Wet_Tim,Wet_BFL_Dur
1,1942,1,32,57,195
2,1943,1,70,42,164
3,1944,1,55,112,113
4,1945,1,64,77,151
5,1946,1,60,43,191
6,1947,1,79,43,175
7,1948,1,46,86,167
8,1949,1,43,137,91
9,1950,1,89,103,136
10,1951,1,39,21,221
11,1952,1,54,38,216
12,1953,1,1,85,29
13,1954,1,1,38,196
14,1955,1,1,35,222
15,1956,1,80,68,21
16,1957,1,17,133,113
17,1958,1,35,74,77
18,1959,1,16,79,150
19,1960,1,130,113,135
20,1961,1,84,45,203
21,1962,1,58,50,163
22,1963,1,39,4,232
23,1964,1,42,30,224
24,1965,1,71,57,32
25,1966,1,43,85,136
26,1967,1,76,40,198
27,1968,1,33,97,54
28,1969,1,70,92,141
29,1970,1,22,68,51
30,1971,1,55,32,212
31,1972,1,15,102,59
32,1973,1,65,70,163
33,1974,1,53,33,153
34,1975,1,69,124,124
35,1976,1,48,21,209
36,1977,1,163,37,219
37,1978,17,83,49,137
38,1979,1,6,95,136
39,1980,1,55,37,117
40,1981,1,93,56,160
41,1982,27,75,40,108
42,1983,1,53,49,195
43,1984,1,1,29,216
44,1985,1,48,24,176
45,1986,1,54,100,49
46,1987,1,59,112,110
47,1988,9,93,52,201
48,1989,7,76,39,137
49,1990,1,53,17,230
50,1991,14,134,94,146
51,1992,6,89,121,83
52,1993,4,63,103,144
53,1994,1,94,57,168
54,1995,41,130,91,170
55,1996,1,92,58,177
56,1997,1,62,44,53
57,1998,1,61,90,167
58,1999,1,44,44,217
59,2000,1,59,94,146
60,2001,1,104,129,102
61,2002,82,83,58,142
62,2003,1,70,69,176
63,2004,1,69,57,163
64,2005,3,54,62,172
65,2006,1,67,53,43
66,2007,1,72,31,141
67,2008,29,49,76,158
68,2009,1,63,79,154
69,2010,42,112,88,164
70,2011,1,54,57,211
71,2012,1,41,107,105
72,2013,8,81,47,177
73,2014,20,162,127,37
74,2015,53,56,53,83
75,2016,90,99,100,98
76,2017,4,46,66,109
77,2018,1,71,36,160
78,2019,41,91,96,115
79,2020,1,99,63,184
80,2021,76,108,78,139
