brood_year,smolt_year,coho_smolt_per_fem,chinook_juv_per_adult,coho_spawner_abundance,coho_redds_in_brood,coho_smolt_abun_est,chinook_spawner_abundance,chinook_spawner_abundance_long,chinook_juvenile_abundance,f1_recon_20,f1_recon_40,f1_recon_120,s1_discon_20,s1_discon_40,s1_discon_120,f2_recon_20,f2_recon_40,f2_recon_120,s2_discon_120,d1_DS_Dur_WS,d1_DS_Tim,d1_DS_Mag_50,d1_DS_Mag_90,f1_FA_Dur,f1_FA_Mag,f1_FA_Tim,f1_FA_Dif_num,w1_Wet_BFL_Dur,w1_Wet_BFL_Mag_10,w1_Wet_BFL_Mag_50,w1_Wet_Tim,w1_Peak_Tim_10,w1_Peak_Tim_2,w1_Peak_Tim_5,w1_Peak_Dur_10,w1_Peak_Dur_2,w1_Peak_Dur_5,w1_Peak_10,w1_Peak_2,w1_Peak_5,w1_Peak_Fre_10,w1_Peak_Fre_2,w1_Peak_Fre_5,s1_SP_ROC,s1_SP_ROC_Max,s1_SP_Dur,s1_SP_Mag,s1_SP_Tim,wy1_Mean_Ann_Flow,wy1_WY_Cat,d2_DS_Dur_WS,d2_DS_Tim,d2_DS_Mag_50,d2_DS_Mag_90,f2_FA_Dur,f2_FA_Mag,f2_FA_Tim,f2_FA_Dif_num,w2_Wet_BFL_Dur,w2_Wet_BFL_Mag_10,w2_Wet_BFL_Mag_50,w2_Wet_Tim,w2_Peak_Tim_10,w2_Peak_Tim_2,w2_Peak_Tim_5,w2_Peak_Dur_10,w2_Peak_Dur_2,w2_Peak_Dur_5,w2_Peak_10,w2_Peak_2,w2_Peak_5,w2_Peak_Fre_10,w2_Peak_Fre_2,w2_Peak_Fre_5,s2_SP_ROC,s2_SP_ROC_Max,s2_SP_Dur,s2_SP_Mag,s2_SP_Tim,wy2_Mean_Ann_Flow,wy2_WY_Cat,w1_num_days_gt_90_pctile,w2_num_days_gt_90_pctile
1978,1980,NA,NA,NA,NA,NA,NA,5332,NA,1,1,7,344,328,296,1,51,55,366,204,262,116,356,4,184,62,68,132,197,547,101,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0577211394302849,0.2078125,60,1400,233,318.660273972603,1,117,293,24,196,11,1040,25,1016,167,415.2,798.5,45,NA,104,105,NA,4,1,13440,4520,10960,NA,1,1,0.0490652330899462,0.124223602484472,99,1520,212,694.765027322404,2,5,32
1979,1981,NA,NA,NA,NA,NA,NA,3824,NA,1,51,55,366,348,316,1,44,93,289,117,293,24,196,11,1040,25,1016,167,415.2,798.5,45,NA,104,105,NA,4,1,13440,4520,10960,NA,1,1,0.0490652330899462,0.124223602484472,99,1520,212,694.765027322404,2,115,311,38,75.5,3,80,42,41,152,166.4,480,61,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0742857142857143,0.205882352941176,63,866,213,300.179178082192,1,32,10
1980,1982,NA,NA,NA,NA,NA,NA,4277,NA,1,44,93,328,303,289,56,59,75,365,115,311,38,75.5,3,80,42,41,152,166.4,480,61,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0742857142857143,0.205882352941176,63,866,213,300.179178082192,1,132,276,14,56.6,2,27,26,13,110,748,1400,43,81,64,80,1,14,2,13440,4520,10960,1,4,1,0.0554475013332497,0.235649546827795,174,3310,153,1183.47671232877,3,10,89
1981,1983,NA,NA,NA,NA,NA,NA,6556,NA,56,59,75,365,365,334,1,1,54,365,132,276,14,56.6,2,27,26,13,110,748,1400,43,81,64,80,1,14,2,13440,4520,10960,1,4,1,0.0554475013332497,0.235649546827795,174,3310,153,1183.47671232877,3,85,327,81.5,210.5,2,210,24,125,194,637.6,1460,47,NA,78,NA,NA,10,NA,13440,4520,10960,NA,7,NA,0.04,0.206093189964158,119,4830,241,1265.65479452055,3,89,114
1982,1984,NA,NA,NA,NA,NA,NA,10176,NA,1,1,54,365,365,365,1,1,1,366,85,327,81.5,210.5,2,210,24,125,194,637.6,1460,47,NA,78,NA,NA,10,NA,13440,4520,10960,NA,7,NA,0.04,0.206093189964158,119,4830,241,1265.65479452055,3,51,360,203,553.9,4,427,38,222,179,713.7,1060,46,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0465116279069767,0.22488038277512,91,2780,225,821.161202185792,3,114,49
1983,1985,NA,NA,NA,NA,NA,NA,3568,NA,1,1,1,366,365,329,1,1,51,365,51,360,203,553.9,4,427,38,222,179,713.7,1060,46,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0465116279069767,0.22488038277512,91,2780,225,821.161202185792,3,89,316,59.5,166,12,131,21,71,175,325,531.5,40,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0568181818181818,0.150273224043716,84,964,215,425.849315068493,2,49,12
1984,1986,NA,NA,NA,NA,NA,NA,1801,NA,1,1,51,365,329,305,1,15,54,365,89,316,59.5,166,12,131,21,71,175,325,531.5,40,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0568181818181818,0.150273224043716,84,964,215,425.849315068493,2,127,299,43.5,107.2,6,129,25,85,98,146.6,611,61,141,140,141,1,7,1,13440,4520,10960,1,3,1,0.0609756097560976,0.342301943198804,143,6690,159,719.145205479452,2,12,39
1985,1987,NA,NA,NA,NA,NA,NA,4408,NA,1,15,54,365,342,308,1,16,60,293,127,299,43.5,107.2,6,129,25,85,98,146.6,611,61,141,140,141,1,7,1,13440,4520,10960,1,3,1,0.0609756097560976,0.342301943198804,143,6690,159,719.145205479452,2,91,302,46.5,89.8,1,81,2,34,192,134.4,378,28,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0553745928338762,0.128895184135977,60,1100,220,313.841917808219,1,39,3
1986,1988,NA,NA,NA,NA,NA,NA,8041,NA,1,16,60,338,319,293,52,82,93,366,91,302,46.5,89.8,1,81,2,34,192,134.4,378,28,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0553745928338762,0.128895184135977,60,1100,220,313.841917808219,1,145,280,18,41,1,30,37,12,190,304,469,60,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0714285714285714,0.212765957446809,41,720,250,309.258469945355,1,3,2
1987,1989,NA,NA,NA,NA,NA,NA,8566,NA,52,82,93,345,320,310,37,65,82,365,145,280,18,41,1,30,37,12,190,304,469,60,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0714285714285714,0.212765957446809,41,720,250,309.258469945355,1,107,291,16.5,34,3,35,19,16,189,131.5,349.5,33,NA,161,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0570585260751033,0.229946524064171,76,1870,222,492.320547945205,2,2,36
