pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_FA_Dur,RY_Wet_BFL_Dur,42.18509471,0.003281422,0.954735867,0.932103801,64.60696497,183,7
BY_recon_20,BY_FA_Dur,13.14998129,0.189238522,0.867986636,0.801979953,72.09968245,364,7
BY_recon_15,BY_FA_Dur,14.06819789,0.159016709,0.875530535,0.813295802,71.6877833,427,7
BY_FA_Dur,RY_SP_Tim,18.72453231,0.012069215,0.903496013,0.855244019,69.90645059,466,7
BY_min_flow_sepdec,BY_FA_Dur,9.732075558,0.110762218,0.82952718,0.744290771,73.88939139,505,7
BY_recon_10,BY_FA_Dur,14.49671183,0.0902773,0.878763718,0.818145578,71.50354998,513,7
BY_FA_Dur,RY_FA_Tim,20.63949956,0.431512665,0.95378821,0.907576421,66.91931112,554,5
BY_recon_10,BY_FA_Mag,18.1211425,0.006668172,0.900602066,0.850903099,70.11327963,568,7
BY_recon_10,BY_recon_100,12.93783409,4.33E-05,0.763842297,0.704802871,105.1093337,579,11
BY_recon_10,RY_Wet_Tim,11.656325,0.000169009,0.744512202,0.680640252,105.9747569,587,11
BY_recon_10,BY_FA_Tim,9.141806128,0.005391025,0.820495889,0.730743834,74.25074707,619,7
SY_discon_80,RY_FA_Mag,7.222536475,0.094808409,0.78313992,0.67470988,76.29771579,640,7
SY_discon_100,RY_FA_Mag,6.726111444,0.11047845,0.770802835,0.656204253,76.68502761,688,7
BY_recon_10,RY_Wet_BFL_Dur,11.36838235,0.18324763,0.739725372,0.674656715,106.1789465,703,11
BY_recon_10,SY_Wet_Tim,7.571152856,0.062994955,0.654312751,0.567890939,109.3007148,706,11
RY_Wet_BFL_Dur,RY_DS_Mag_90,12.08355709,0.522643901,0.751298797,0.689123496,105.6786098,710,11
BY_recon_10,RY_SP_ROC,6.02848544,0.078585819,0.601136181,0.501420226,110.8746563,759,11
BY_recon_10,log_BY_tot_flow_sepdec,7.928329788,0.289283007,0.664663866,0.580829832,108.9663033,765,11
BY_recon_10,RY_DS_Dur_WS,5.013829384,0.091434052,0.55623744,0.4452968,112.0480218,765,11
BY_recon_15,BY_recon_100,7.930353115,0.000141111,0.664720737,0.580900921,108.9644376,774,11
BY_recon_10,BY_tot_flow_sepdec,6.067226861,0.002669454,0.602671117,0.503338897,110.8322437,783,11
BY_recon_10,BY_recon_20,5.629244587,0.00076469,0.584598775,0.480748468,111.3215292,784,11
BY_recon_100,RY_FA_Mag,8.45400068,0.004580853,0.808685683,0.713028524,75.42037332,785,7
BY_recon_10,RY_min_flow,5.232812141,0.000883027,0.566762549,0.458453186,111.7839814,794,11
BY_recon_10,RY_Wet_BFL_Mag_50,4.928201773,0.003621318,0.551981451,0.439976814,112.1530167,794,11
BY_recon_10,BY_recon_50,6.372317045,0.003356234,0.614358105,0.517947631,110.503837,795,11
BY_recon_10,SY_discon_80,5.784892083,0.863432663,0.591206529,0.489008161,111.1451465,800,11
BY_recon_10,BY_recon_15,4.917020298,0.000296848,0.55141966,0.439274575,112.1668015,804,11
BY_recon_10,SY_discon_100,5.71024183,0.940230981,0.588063812,0.485079766,111.2293887,804,11
BY_FA_Dur,RY_DS_Tim,6.096946844,0.076658221,0.752993315,0.629489972,76.48526812,807,7
BY_recon_10,log_SY_tot_flow_janjul,4.819995847,0.757378564,0.546485047,0.433106309,112.2871464,813,11
BY_recon_10,RY_tot_flow,4.847099879,0.003484575,0.547874439,0.434843048,112.253395,818,11
BY_recon_10,RY_recon_80,5.015363889,0.018053856,0.556312973,0.445391216,112.0461494,829,11
BY_recon_10,RY_DS_Mag_50,5.873301506,0.003093544,0.594867026,0.493583783,111.0462045,833,11
BY_recon_10,SY_tot_flow_janjul,4.816089597,0.002382806,0.546284103,0.432855129,112.2920192,836,11
BY_recon_10,RY_recon_100,5.1612798,0.019391437,0.56337978,0.454224725,111.8695371,850,11
BY_recon_10,RY_recon_50,4.822682951,0.001544028,0.546623173,0.433278967,112.2837957,827,11
BY_recon_10,log_RY_tot_flow,4.850085274,0.942352146,0.548026954,0.435033692,112.2496838,850,11
BY_recon_15,RY_Wet_Tim,6.751478239,0.00054812,0.627958136,0.534947671,110.108906,850,11
BY_recon_15,RY_Wet_BFL_Dur,6.390985764,0.322670079,0.615050959,0.518813699,110.4840564,862,11
BY_recon_15,log_BY_tot_flow_sepdec,6.535012556,0.160882558,0.620313694,0.525392118,110.3326352,869,11
