pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
BY_recon_15,BY_recon_10,4.92,0.00030,0.551,0.439,112.2
BY_recon_20,BY_recon_10,5.63,0.00076,0.585,0.481,111.3
BY_recon_50,BY_recon_10,6.37,0.00336,0.614,0.518,110.5
BY_recon_80,BY_recon_10,5.20,0.01761,0.565,0.457,111.8
BY_recon_100,BY_recon_10,12.94,0.00004,0.764,0.705,105.1
RY_discon_10,BY_recon_10,6.93,0.47116,0.634,0.542,109.9
RY_discon_15,BY_recon_10,6.12,0.75113,0.605,0.506,110.8
RY_discon_20,BY_recon_10,5.60,0.93741,0.583,0.479,111.4
RY_discon_50,BY_recon_10,5.62,0.96841,0.584,0.480,111.3
RY_discon_80,BY_recon_10,5.79,0.86819,0.591,0.489,111.1
RY_discon_100,BY_recon_10,5.65,0.91348,0.585,0.482,111.3
RY_recon_10,BY_recon_10,5.09,0.00011,0.560,0.450,112.0
RY_recon_15,BY_recon_10,5.23,0.00016,0.567,0.458,111.8
RY_recon_20,BY_recon_10,4.89,0.00029,0.550,0.438,112.2
RY_recon_50,BY_recon_10,4.82,0.00154,0.547,0.433,112.3
RY_recon_80,BY_recon_10,5.02,0.01805,0.556,0.445,112.0
RY_recon_100,BY_recon_10,5.16,0.01939,0.563,0.454,111.9
SY_discon_80,BY_recon_10,5.78,0.86343,0.591,0.489,111.1
SY_discon_100,BY_recon_10,5.71,0.94023,0.588,0.485,111.2
BY_min_flow_sepdec,BY_recon_10,5.38,0.00087,0.573,0.467,111.6
RY_min_flow,BY_recon_10,5.23,0.00088,0.567,0.458,111.8
SY_min_flow_janjul,BY_recon_10,4.85,0.00022,0.548,0.435,112.3
tot_flow_CFLP,BY_recon_10,4.92,0.02294,0.552,0.439,112.2
BY_tot_flow_sepdec,BY_recon_10,6.07,0.00267,0.603,0.503,110.8
RY_tot_flow,BY_recon_10,4.85,0.00348,0.548,0.435,112.3
SY_tot_flow_janjul,BY_recon_10,4.82,0.00238,0.546,0.433,112.3
log_tot_flow_CFLP,BY_recon_10,4.96,0.84286,0.554,0.442,112.1
log_BY_tot_flow_sepdec,BY_recon_10,7.93,0.28928,0.665,0.581,109.0
log_RY_tot_flow,BY_recon_10,4.85,0.94235,0.548,0.435,112.2
log_SY_tot_flow_janjul,BY_recon_10,4.82,0.75738,0.546,0.433,112.3
BY_FA_Mag,BY_recon_10,18.12,0.00667,0.901,0.851,70.1
BY_FA_Tim,BY_recon_10,9.14,0.00539,0.820,0.731,74.3
BY_FA_Dur,BY_recon_10,14.50,0.09028,0.879,0.818,71.5
RY_Wet_Tim,BY_recon_10,11.66,0.00017,0.745,0.681,106.0
