Year,FA_Mag,FA_Tim,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Wet_BFL_Dur,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Mag,SP_Tim,SP_Dur,SP_ROC,DS_Mag_50,DS_Mag_90,DS_Tim,DS_Dur_WS
1942,None,None,None,577.2,890,57,195,4520,10960,13440,None,None,None,None,None,None,1850,252,60,0.045454545,71,90,312,96
1943,None,None,None,593,1335,42,164,4520,10960,13440,2,None,None,2,None,None,2110,206,107,0.042417311,122,163.6,313,165
1944,189.9238735,25,3,181,350,112,113,4520,10960,13440,None,None,None,None,None,None,1060,225,69,0.035294118,64,180.8,294,149
1945,469.9550521,34,3,263,453,77,151,4520,10960,13440,None,None,None,None,None,None,1790,228,79,0.044493937,54.5,144.8,307,102
1946,614.0163065,30,7,322,762,43,191,4520,10960,13440,2,None,None,1,None,None,1710,234,59,0.050420168,76.5,129,293,116
1947,None,None,None,172,405,43,175,4520,10960,13440,None,None,None,None,None,None,1110,218,80,0.051793496,66,173.3,298,154
1948,634.0588698,16,3,276.8,451,86,167,4520,10960,13440,2,None,None,1,None,None,2100,253,52,0.069343429,118,230.5,305,198
1949,215.9882152,34,7,421,815,137,91,4520,10960,13440,None,None,None,None,None,None,2300,228,69,0.054901961,61,88.9,297,172
1950,81.84104889,41,5,454.5,969,103,136,4520,10960,13440,None,None,None,None,None,None,1560,239,66,0.052364329,62,79,305,82
1951,None,None,None,660,1070,21,221,4520,10960,13440,7,None,None,4,None,None,1300,242,60,0.039117233,63.5,114.5,302,102
1952,199.9925081,23,8,379,1365,38,216,4520,10960,13440,2,None,None,1,None,None,2610,254,55,0.073313783,104.5,243.9,309,142
1953,613.9753229,67,7,233.6,1800,85,29,4520,10960,13440,6,2,None,3,1,None,12400,114,202,0.052631579,112,137.9,316,88
1954,None,None,None,420,1205,38,196,4520,10960,13440,3,None,None,2,None,None,1820,234,65,0.051282051,93,106.8,299,102
1955,None,None,None,168.1,214,35,222,4520,10960,13440,None,None,None,None,None,None,815,257,46,0.065429353,42,330,303,131
1956,1489.963728,50,5,590,1160,68,21,4520,10960,13440,9,2,2,3,1,1,4950,89,216,0.069392379,173,337.1,305,194
1957,258.0173185,26,5,567,1200,133,113,4520,10960,13440,3,None,None,1,None,None,1480,246,46,0.046536797,107.5,656.6,292,148
1958,1010.007213,10,1,807.8,1310,74,77,4520,10960,13440,14,1,None,4,1,None,12000,151,142,0.058823529,111,233.7,293,152
1959,264.9948738,44,6,207.8,678,79,150,4520,10960,13440,None,None,None,None,None,None,1220,229,71,0.05965206,54,72,300,179
1960,None,None,None,232.6,680,113,135,4520,10960,13440,2,None,None,1,None,None,1530,248,48,0.066666667,61,69.6,296,115
1961,None,None,None,246,710,45,203,4520,10960,13440,1,None,None,1,None,None,1820,248,53,0.063218391,66,105,301,115
1962,108.9278573,27,3,204.4,435,50,163,4520,10960,13440,None,None,None,None,None,None,1560,213,92,0.047954765,58,73.4,305,65
1963,None,None,None,337.8,871,4,232,4520,10960,13440,9,None,None,3,None,None,2480,236,61,0.046570621,69,112.6,297,99
1964,None,None,None,368.6,546,30,224,4520,10960,13440,None,None,None,None,None,None,1000,254,64,0.056962025,53,107,318,105
1965,79.00072851,12,3,315,679,57,32,4520,10960,13440,8,4,3,2,1,1,12400,89,197,0.052657005,78,258.2,286,165
1966,515.9984045,45,4,340,622,85,136,4520,10960,13440,None,None,None,None,None,None,1850,221,74,0.070019455,56,70,295,111
1967,87.99648074,4,3,323.6,628,40,198,4520,10960,13440,1,None,None,1,None,None,3620,238,70,0.063436173,89,149.6,308,155
1968,190.9946018,45,3,222.6,673.5,97,54,4520,10960,13440,4,1,None,1,1,None,4000,151,134,0.066898148,55,357.4,285,173
1969,249.9990053,40,9,647,1230,92,141,4520,10960,13440,1,None,None,1,None,None,2860,233,71,0.076923077,82,120.3,304,130
1970,133.9994407,13,7,456,960,68,51,4520,10960,13440,11,4,4,3,2,2,17200,119,168,0.056684492,56,86,287,111
1971,None,None,None,659.8,1295,32,212,4520,10960,13440,8,2,1,3,1,1,2040,244,71,0.051724138,123,373.2,315,153
1972,259.0018627,43,6,237.6,725,102,59,4520,10960,13440,8,1,None,3,1,None,3670,161,132,0.059259259,74,131.8,293,143
1973,134.974212,35,7,310.8,535,70,163,4520,10960,13440,None,None,None,None,None,None,1730,233,61,0.05952381,41,173.2,294,105
1974,715.9803329,22,3,934,1620,33,153,4520,10960,13440,13,4,2,3,1,1,6540,186,122,0.063157895,118,337.7,308,182
1975,158.969203,53,2,850.1,1415,124,124,4520,10960,13440,2,None,None,2,None,None,3740,248,65,0.059128746,84.5,99.7,313,74
1976,None,None,None,302.2,479,21,209,4520,10960,13440,None,None,None,None,None,None,1660,230,69,0.052967649,71.5,84,299,104
1977,None,None,None,58,86,37,219,4520,10960,13440,None,None,None,None,None,None,262,256,71,0.0625,15.5,47.3,327,88
1978,None,None,None,586.2,1150,49,137,4520,10960,13440,5,None,None,2,None,None,1920,186,124,0.07294482,97,155,310,151
1979,183.9992462,61,13,186,541,95,136,4520,10960,13440,None,None,None,None,None,None,1520,231,50,0.0625,24,166.4,281,122
1980,1039.912258,24,7,294.2,733,37,117,4520,10960,13440,4,1,None,1,1,None,3210,154,142,0.050847458,40,75,296,126
1981,None,None,None,155.7,479,56,160,4520,10960,13440,None,None,None,None,None,None,866,216,64,0.071279295,13,29,280,126
1982,None,None,None,735.6,1305,40,108,4520,10960,13440,14,2,1,4,1,1,7780,148,155,0.060083029,81.5,202.3,303,112
1983,209.9911791,23,4,697.6,1510,49,195,4520,10960,13440,10,None,None,7,None,None,4830,244,74,0.056680162,202,260,318,77
1984,None,None,None,645.5,1075,29,216,4520,10960,13440,None,None,None,None,None,None,1650,245,67,0.043751709,51.5,96.5,312,78
1985,None,None,None,311,471.5,24,176,4520,10960,13440,None,None,None,None,None,None,1900,200,96,0.059434959,46,186.7,296,170
1986,128.9919562,24,6,338.4,1020,100,49,4520,10960,13440,7,1,1,3,1,1,4570,149,131,0.063063063,90,159,280,198
1987,168.9932032,30,5,376.8,690,112,110,4520,10960,13440,None,None,None,None,None,None,1100,222,65,0.054915019,18,37,287,131
1988,None,None,None,254,468,52,201,4520,10960,13440,None,None,None,None,None,None,720,253,44,0.069046607,16.5,34,297,108
1989,None,None,None,227.8,315,39,137,4520,10960,13440,1,None,None,1,None,None,1930,176,123,0.059210526,25,47,299,84
1990,None,None,None,126.9,280.5,17,230,4520,10960,13440,None,None,None,None,None,None,1060,247,66,0.066666667,33,62,313,149
1991,50.99786872,35,5,113.9,267,96,144,4520,10960,13440,None,None,None,None,None,None,672,240,74,0.074074074,21,120.8,314,173
1992,85.9994884,52,2,171.6,418,121,83,4520,10960,13440,None,None,None,None,None,None,1690,204,58,0.071856287,55,156,262,207
1993,79.99740742,17,3,503.2,1280,103,144,4520,10960,13440,4,None,None,2,None,None,4600,247,68,0.059326295,53,74,315,108
1994,None,None,None,122,240.5,57,168,4520,10960,13440,None,None,None,None,None,None,787,225,59,0.066959064,9.8,36.4,284,173
1995,None,None,None,816.7,1520,91,170,4520,10960,13440,8,None,None,4,None,None,1760,261,64,0.066801619,61,86,325,99
1996,None,None,None,566.4,1400,58,177,4520,10960,13440,1,None,None,1,None,None,2700,235,74,0.057803468,35,97,309,101
1997,None,None,None,828,2040,44,53,4520,10960,13440,10,4,3,3,1,1,21500,97,169,0.046757573,86,228.3,266,190
1998,215.9996649,31,8,969.4,1580,90,167,4520,10960,13440,5,2,None,2,1,None,2390,257,67,0.058441558,80.5,140.5,324,86
1999,None,None,None,518.8,1270,44,217,4520,10960,13440,None,None,None,None,None,None,1610,261,49,0.052982456,72.5,224.1,310,150
2000,140.977385,29,5,747,1135,94,146,4520,10960,13440,None,None,None,None,None,None,1770,240,73,0.067609721,78.5,103,313,182
2001,114.0051747,75,9,116,224,129,102,4520,10960,13440,None,None,None,None,None,None,1040,231,41,0.104651163,5.1,8.39,272,152
2002,501.8625953,52,4,319,574.5,58,142,4520,10960,13440,None,None,None,None,None,None,2140,200,106,0.0625,14.6,75.78,306,129
2003,185.969444,39,3,620,1240,69,176,4520,10960,13440,2,None,None,1,None,None,2300,245,51,0.060910119,70.4,126,296,127
2004,98.99727863,28,5,298.8,756,57,163,4520,10960,13440,1,None,None,1,None,None,1470,220,89,0.068586764,24.6,93.5,309,119
2005,103.0000183,24,3,317,533.5,62,172,4520,10960,13440,None,None,None,None,None,None,2620,234,81,0.071428571,26.85,208.9,315,104
2006,487.9988452,37,9,291.6,808,53,43,4520,10960,13440,12,1,1,3,1,1,10700,96,199,0.055882353,54.05,77.89,295,102
2007,None,None,None,164,561,31,141,4520,10960,13440,None,None,None,None,None,None,1480,172,107,0.056409523,27.9,172.6,279,163
2008,777.9894777,19,6,272.4,572,76,158,4520,10960,13440,None,None,None,None,None,None,3000,234,80,0.056179775,39.1,144,314,131
