Brood Year,Smolt Year,Smolt point Estimate,Age 3 Return Year,Age 2 Return,Age 3 Return,Age 2 and 3 Return,Percent smolt survival
2004,2006,95815,2007,0,1622,1622,1.69
2005,2007,3931,2008,0,58,58,1.48
2006,2008,1142,2009,5,75,80,7.01
2007,2009,73232,2010,6,913,919,1.25
2008,2010,3257,2011,14,344,358,10.99
2009,2011,353,2012,11,186,197,55.81
2010,2012,63135,2013,13,2631,2644,4.19
2011,2013,9283,2014,121,383,504,5.43
2012,2014,6734,2015,102,188,290,4.31
2013,2015,8758,2016,24,226,250,2.85
2014,2016,3372,2017,0,364,364,10.79
2015,2017,N/A,2018,14,712,726,N/A
2016,2018,14628,2019,27,338,365,2.5
2017,2019,15705,2020,8,1664,1672,10.64
2018,2020,14628,2021,102,845,947,6.47
2019,2021,1762,2022,7,231,238,13.51
