"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64"
"(Intercept)",60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,60.0218181818182,61.0041043889805,61.9737733357449,62.9434422825093,63.9815998503072,65.828171681219,66.1848235973585,66.5415025651079,66.8981815335755,67.2548605020431,67.6115394705106,67.9682184389781,68.1465180398285,68.3248575262061,68.5031970104417,68.6815364946755,68.8598759789092,69.038215463143,69.2165549473767,69.3948944316105,70.3210529202048,71.3481067122135,72.3648400455118,73.3815400028451,73.7665219526373,71.885499174662,71.0560913652807,70.7056902135102,70.3439345480301,69.9799227979338,69.6155297920253,69.251072432712,68.8866042110766,68.5221341559715,68.1576637913918,70.3890801237457,104.929135193283,183.828376523587,199.515230562211,215.386335332161,227.009328287475,238.234951436907,252.166237261493,266.495729444895,280.792718554738,294.680957328051,300.261205183097,234.777773486378,141.091885738306,54.3446566681583,53.1434150089018,54.4667109351283,55.7658439115905,57.1810784129359,58.6177006677696,60.0301870779828,76.1215125608837
"BY_recon_10",0,0,0,0,0,0,0,0,0,-0.0537569566108737,-0.106823416384048,-0.159889876157223,-0.212417041064473,-0.251788160801918,-0.286642488664104,-0.321495615422338,-0.356348742261954,-0.391201869101567,-0.42605499594118,-0.460908122780792,-0.47832161058618,-0.495748177614542,-0.513174741033355,-0.530601304453161,-0.548027867872967,-0.565454431292774,-0.58288099471258,-0.600307558132386,-0.618715269337197,-0.637320085919217,-0.655880410354511,-0.674440680035439,-0.694085462555396,-0.718499776092984,-0.727703562602984,-0.728016333953315,-0.728681920284267,-0.729411392843621,-0.730151654541384,-0.730893737363662,-0.731636127576665,-0.732378569674673,-0.73312102053044,-0.768968559841156,-0.85009906232905,-0.994715997949395,-1.0238532167574,-1.05216652777448,-1.06097495770139,-1.06581295322632,-1.08699473911561,-1.10860225178065,-1.13009016401777,-1.15002239125981,-1.15955134329885,-1.18656976968156,-1.21795230128371,-1.24804920335699,-1.26106681613852,-1.27368168401139,-1.28651336741264,-1.29956260261042,-1.31264068149333,-1.32557563608401,-1.33462767217301
"BY_recon_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BY_recon_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BY_recon_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BY_recon_80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00154725797645317,-0.0166299815115272,-0.0374781610683114,-0.0462037125698158,-0.0535972532015901,-0.0610196264826143,-0.0684219308235646,-0.0759793543403001,-0.100784614545226,-0.130588781138435,-0.159173456503236,-0.172071020557901,-0.192812446523015,-0.213022155655224,-0.233731879108651,-0.25441025425529,-0.274962000735151,-0.293352930098958
"BY_recon_100",0,0,0,0,0,0,0,0,0,0,0,0,-0.00104330883706989,-0.0221358357344681,-0.0392554358051816,-0.0563756396698986,-0.0734958435158064,-0.0906160473617143,-0.107736251207622,-0.12485645505353,-0.133420233264187,-0.141980334095791,-0.150540436019067,-0.15910053794202,-0.167660639864974,-0.176220741787928,-0.184780843710882,-0.193340945633836,-0.199637945579105,-0.20576211786185,-0.211880993277167,-0.217999776153261,-0.22273642370627,-0.222064042135602,-0.222737487491445,-0.224241366990685,-0.225697786411513,-0.227148134010808,-0.228597459263708,-0.230046611956323,-0.231495735522196,-0.232944854171717,-0.234393971991399,-0.250541194480635,-0.281995339611054,-0.328985183048331,-0.338040038437403,-0.346895953830075,-0.35153116182801,-0.354285763372532,-0.359761154102703,-0.366504820899945,-0.373227659720014,-0.379743410825251,-0.384058241486035,-0.361029413731782,-0.329133468417961,-0.299491103406776,-0.297401428863814,-0.28488820596541,-0.27300113338978,-0.260261685087246,-0.247505396893745,-0.234878817930333,-0.227003623838218
"RY_discon_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RY_discon_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RY_discon_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
